"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C28","C0603","2475mil","1845mil","2475mil","1845mil","2494.487mil","1864.487mil","T","225.00","4.7uF"
"C13","C0603","1785mil","1550mil","1785mil","1550mil","1765.513mil","1569.487mil","T","315.00","4.7uF"
"C42","C0603","2850.001mil","1470mil","2850mil","1470mil","2869.488mil","1489.487mil","T","225.00","0.47uF"
"C40","C0603","2720mil","1605mil","2720mil","1605mil","2739.487mil","1624.487mil","T","225.00","0.47uF"
"C23","C0603","1983.999mil","1759mil","1984mil","1759mil","1964.513mil","1778.487mil","T","315.00","0.47uF"
"C39","C0603","2759.999mil","1045.001mil","2760mil","1045mil","2779.486mil","1025.514mil","T","135.00","0.47uF"
"C27","C0603","2470mil","750mil","2470mil","750mil","2489.487mil","730.513mil","T","135.00","0.47uF"
"C18","C0603","1875mil","945mil","1875mil","945mil","1855.513mil","925.513mil","T","45.00","0.47uF"
"C25","C0603","2085mil","750mil","2085mil","750mil","2065.513mil","730.513mil","T","45.00","0.47uF"
"U8","TQ144_L","2274.999mil","1300.001mil","2275mil","1300mil","1733.533mil","1245.715mil","T","45.00","XC6SLX9-3TQG144C"
"C12","C0603","1705mil","1130mil","1705mil","1130mil","1685.513mil","1110.513mil","T","45.00","4.7uF"
"C30","C0603","2540mil","680mil","2540mil","680mil","2559.487mil","660.513mil","T","135.00","4.7uF"
"U3","SOIC127P830X200-8L","795mil","1063mil","795mil","1063mil","870mil","1208.669mil","T","270.00","M25PE16"
"D5","SOD-123","2187mil","493mil","2187mil","493mil","2124.008mil","493mil","T","90.00","RB161M-20TR"
"D4","SOD-123","880mil","1673mil","880mil","1673mil","942.992mil","1673mil","T","270.00","RB161M-20TR"
"C6","C0603","893mil","2001mil","893mil","2001mil","865.441mil","2001mil","T","360.00","4.7uF"
"U2","SOT223","538mil","2207mil","538mil","2207mil","447.449mil","2094.795mil","T","90.00","LD1117S33CTR"
"U9","TSSOP20","2300mil","2083mil","2300mil","2083mil","2184.843mil","1966.858mil","T","90.00","TXB0108PWR"
"U7","TSSOP20","1650mil","2083mil","1650mil","2083mil","1534.842mil","1966.858mil","T","90.00","TXB0108PWR"
"R9","R0603","493mil","1828mil","493mil","1828mil","520.559mil","1828mil","T","180.00","200"
"C1","C0603","418mil","708mil","418mil","708mil","418mil","680.441mil","T","90.00","0.1uF"
"C2","C0603","520mil","646mil","520mil","646mil","547.559mil","646mil","T","180.00","0.1uF"
"D2","SOD-123","347mil","820mil","347mil","820mil","409.992mil","820mil","T","270.00","RB161M-20TR"
"J1","10103594-0001LF_-_TESTING_SMALLER_THRU","140mil","683mil","140mil","683mil","198.291mil","734.181mil","T","0.00","USB Micro B"
"R4","R0603","314mil","684mil","314mil","684mil","286.441mil","684mil","T","360.00","33"
"R5","R0603","314mil","744mil","314mil","744mil","286.441mil","744mil","T","360.00","33"
"R28","R0603","1565mil","183mil","1565mil","183mil","1565mil","210.559mil","T","270.00","10k"
"R29","R0603","2015mil","183mil","2015mil","183mil","2015mil","210.559mil","T","270.00","10k"
"U1","FT230x-QFN65P400X400X80-16L","547mil","773mil","547mil","773mil","585.386mil","844.85mil","T","270.00","FT230XQ"
"PB5","FSM4JSMA","579mil","1401mil","579mil","1401mil","409mil","1312mil","T","90.00","FSM4JSMA"
"PB6","FSM4JSMA","582mil","1665mil","582mil","1665mil","412mil","1576mil","T","90.00","FSM4JSMA"
"PB0","FSM4JSMA","1737mil","184mil","1737mil","184mil","1907mil","95mil","T","90.00","FSM4JSMA"
"PB1","FSM4JSMA","2185.333mil","184mil","2185.333mil","184mil","2355.333mil","95mil","T","90.00","FSM4JSMA"
"PB2","FSM4JSMA","2633.667mil","184mil","2633.667mil","184mil","2803.667mil","95mil","T","90.00","FSM4JSMA"
"PB3","FSM4JSMA","3082mil","184mil","3082mil","184mil","3252mil","95mil","T","90.00","FSM4JSMA"
"C33","C0603","2686mil","731mil","2686mil","731mil","2686mil","703.441mil","T","90.00","0.1uF"
"C41","C0603","2716mil","536mil","2716mil","536mil","2716mil","563.559mil","T","270.00","0.1uF"
"C43","C0603","2816mil","536mil","2816mil","536mil","2816mil","563.559mil","T","270.00","0.1uF"
"R37","R0603","2671mil","536mil","2671mil","536mil","2671mil","508.441mil","T","90.00","200"
"R39","R0603","2771mil","536mil","2771mil","536mil","2771mil","508.441mil","T","90.00","200"
"C44","C0603","2917mil","536mil","2917mil","536mil","2917mil","563.559mil","T","270.00","0.1uF"
"R42","R0603","2871mil","536mil","2871mil","536mil","2871mil","508.441mil","T","90.00","200"
"J11","SOLDER_JUMPER","3010mil","794mil","3010mil","823mil","3010mil","823mil","T","270.00","Solder Jumper"
"J10","SOLDER_JUMPER","2940mil","794mil","2940mil","823mil","2940mil","823mil","T","270.00","Solder Jumper"

